price_clean,building_type_clean,year_built_clean,floor_size_clean,address_clean,room_clean,shower_clean,car_clean,size_clean,description_clean,coordinates
,Apartment,,,2/92 Mimosa Road Carnegie VIC 3163,2,2,1,,"Stunning, spacious and serene - this ground floor apartment is an immaculate haven of modern lifestyle ease! Join the expertly developed 'William' complex in a prime location for busy professionals, downsizers or investors to flourish. Open plan living and dining incorporates stylish pendant lighting, pristine Oak flooring and split system heating and cooling. The bold contemporary kitchen boasts high-end Miele appliances, abundant storage and sleek stone benches with waterfall edge. Both carpeted bedrooms feature mirrored built-in robes, the main enjoying a study nook and a beautifully finished ensuite to match the sparkling central bathroom. A floor-to-ceiling sliding door reveals the covered alfresco deck, perfect for enchanting outdoor entertaining in the privacy of the leafy easy-care garden! Further highlights include ceiling fans throughout, a hidden Euro laundry, secure video intercom entry, a single basement car space and a lock-up storage cage.Stroll to Koornang Road for a wealth of local shops, supermarkets, cafs and restaurants. It's just 650m to Carnegie Station and 400m to Glen Huntly Road trams, with easy access to Monash University (Caulfield), Caulfield Racecourse, Lord Reserve, Koornang Park and the Monash Freeway.Show More","(-37.887116, 145.052893)"
,Unit,,,5/98-100 Neville Street Carnegie VIC 3163,2,1,1,,"Welcome to a beautifully designed 2-bedroom, 1-bathroom unit that effortlessly combines comfort and style. From the moment you step onto the welcoming porch, you'll feel the inviting atmosphere of this thoughtfully laid-out residence. As you enter, a formal entry leads you to the spacious formal living room, featuring a split system heating and cooling unit and a generously sized window that bathes the space in natural light. The adjacent tiled kitchen and meals area are perfect for both everyday dining and entertaining, equipped with ample storage, sleek cabinetry, and modern stainless steel appliances. The unit offers two bedrooms, each fitted with built-in robes. The master bedroom boasts a private ensuite with a single vanity, bath, and separate shower, providing a serene retreat. The central toilet is thoughtfully separated for added privacy.Additional conveniences include an internal laundry, off-street garage parking for one vehicle, and a beautifully manicured garden-ideal for relaxing outdoors. Located on bustling Koornang Road, you'll enjoy easy access to parks, schools, and public transport, making this unit not just a home, but a gateway to a vibrant and connected lifestyle.Show More","(-37.898534, 145.053373)"
871000,Townhouse,2015,63,3/28 Belsize Avenue Carnegie VIC 3163,2,1,1,126,"Experience an impressive sense of style and low-maintenance living with this sun-soaked, single-level villa, presenting a remarkable opportunity for young families, market entrants, downsizers and investors alike.  Key Features: -	Modern and desirable single-level -	Underscored by gleaming timber floors -	Bright north facing open-plan living/dining area -	Stylish kitchen boasting stone surfaces & Bosch appliances -	Private, north-facing courtyard surrounded by tall hedges -	2 bedrooms fitted with BIRs -	Modern fully-tiled bathroom -	Ducted heating & split system AC -	Single carport -	Short stroll to Koornang Road's culinary & shopping precinct -	A walk to Murrumbeena Village -	Easy access to trains, trams & buses -	Minutes to Monash University & Chadstone Infused with natural light and highlighted by timber floors, this sun-soaked 2 bedroom, 1 bathroom villa provides effortless modern living in a quiet, Blue-chip setting. Timber floors add charm and vibrancy to the open-plan layout, including a stylish stone/Bosch appointed kitchen featuring ample storage. Outdoors, relax and entertain in complete privacy in your own secluded north facing  courtyard, while also appreciating the added luxury of ducted heating, split system AC and single carport. Set in a quiet Blue-chip location, within a short stroll to the buzzing shopping centres in Koornang Road and Murrumbeena Village, trams, trains, parks, buses and minutes to Monash Uni (Caulfield) and Chadstone.Show More","(-37.890233, 145.058591)"
,Townhouse,2016,130,2A Madden Avenue Carnegie VIC 3163,3,2,,134,"Appreciating sleek lines and a sophisticated design, this carefree residence delivers the ultimate lock-and-leave lifestyle with a functional design that places the bedrooms on one level and the open plan living domain on the other.  Engaging with afternoon sunshine, the living, dining and kitchen relishes a spacious layout that includes designer stone benches, a large walk-in pantry and Blanco appliances including a semi-integrated dishwasher.  A built-in study desk adds to the room's functionality, while sliding doors create a fluid connection out onto the entertainer's balcony - perfect for summer barbeques with friends. On the ground floor, the three robed bedrooms are all generously sized and include a master bedroom with built-in-robe and ensuite, supplemented by a 2nd bathroom with toilet and discreet Euro laundry.  Comfortably appointed with split system heating/air conditioning, high ceilings, LED downlights, video intercom, basement parking space plus a gated driveway space for a second car.  Nestled in a vibrant pocket, moments from trams, Glen Huntly Station, Glen Huntly Village, central Carnegie, Lord Reserve, Koornang Park, Carnegie Primary, Kilvington Grammar, Glen Eira College and Chadstone Shopping Centre.  Photo ID may be required for entry of Open for Inspections.Show More","(-37.891069, 145.050907)"
350000,Townhouse,1970,45,3/32 Madden Avenue Carnegie VIC 3163,1,1,1,769,"Just doors to Koornang Park where expansive open greenery and the soon-to-be-open swim school await, this light and bright ground floor apartment offers the perfect stepping-stone into property ownership. As low maintenance as they come and offering a practical layout with generous dimensions, it is not only a great first home but also the perfect maiden investment opportunity. Opening to a comfortable living room with a heater ready to ward off the winter chill, the floorplan flows into the bright kitchen featuring plenty of cupboard space, a contemporary stainless-steel oven and casual meals area. The bedroom is a generous double that benefits from fitted wardrobes and enjoys ensuite access to the spacious bathroom which includes a bath and convenient laundry taps. With an undercover parking space, this is a satisfying package that can be immediately enjoyed or would respond well to some simple updates if desired.In a convenient pocket well-serviced trams & buses and moments to the station & cafes, this is a carefree commuter base or ideal student accommodation that is also within easy reach of Monash University Caulfield.   We donate a portion of our fee from every property transaction to the Woodards Foundation to support people experiencing homelessness, family violence and social isolation.Show More","(-37.89327, 145.050485)"
964000,Townhouse,1940,,3/49 Murrumbeena Road Carnegie VIC 3163,3,1,1,153,"Situated in the heart of Carnegie, this immaculately presented house-sized Art Deco town residence, one in a boutique collection of just four, successfully blends the timeless character of yesteryear with the contemporary comforts of today. With entry via Oakdene Crescent, a charming fa?ade & enclosed front garden setting greet you on arrival, while on the interior polished timber floors, rich timber detail  & high ceilings flow from the inviting entrance hallway with storage through to a northerly oriented sun drenched & spacious living room adorned with magnificent decorative ceilings & an open fireplace. The distinctive period detail & generous proportions continue through to an adjoining dining room with built-in cabinetry & large windows providing a gorgeous garden aspect. Adding to the appeal, a separate well presented kitchen with ample storage enjoys access to a large rear courtyard, ideal for alfresco relaxing & entertaining with ease. Upstairs, carpeted throughout, the accommodation comprises three bedrooms (two with robes) & a sparkling central bathroom with shower over bath, laundry facilities & separate toilet. Additional features include hydronic heating, single garage, ceiling fan upstairs, under stair storage & a storage shed. Perfectly positioned for a lifestyle of conveninence just steps away from a vibrant array of shops, cafes & restaurants & close to Murrumbeena Train Station & Koonang Road, parklands, schools & Chadstone Shopping Centre.","(-37.888914, 145.066269)"
1500000,House,1935,210,1118 Dandenong Road Carnegie VIC 3163,4,2,2,636,"Classic Art Deco elegance and charm are on full display at this timeless 3-bedroom plus office/4th bedroom, 2-bathroom home which provides families with comfortable accommodation now, along with plenty of exciting possibilities for the future.  Instantly captivating, a curved porch with slimline bricks and terrazzo flooring beckons guests inside to interiors that are crowned by decorative ceilings and accented by period details such as intricate etched glass and original fireplaces. A modern open plan floorplan will please buyers  it includes a formal lounge and dining/sitting room, both with fireplaces, along with a vast living/dining area and huge central kitchen with stainless steel appliances.All three bedrooms benefit from built-in storage. They share a bright bathroom with separate WC. On its corner, easy-to-maintain allotment of approx. 636sqm, the home also boasts ducted heating, a second bathroom with laundry provisions and a lock-up garage accessed off Chestnut Street. Providing buyers with instant comfort and space, there is also plenty of scope for further enhancements if desired (STCA). Carnegie Central is within walking distance, while Koornang Roads many attractions, Carnegie station, bus stops, Chadstone the Fashion Capital and Monash University are all merely moments away.   We donate a portion of our fee from every property transaction to the Woodards Foundation to support people experiencing homelessness, family violence and social isolation.Show More","(-37.884776, 145.061079)"
470000,Unit,1960,68,8/82 Coorigil Road Carnegie VIC 3163,2,1,1,1534,"**Thank you for viewing this property. Please be advised that this auction will be conducted online only, and no one will be present on site. Registration is required prior to bidding. See the registration link and Live Auction-Room link below (Spectators are welcome!)** Bidding Registration:    https://portal.bidtracker.com.au/auctions/8e4aba16-5b5d-4f1b-a968-71f69e962b4c/register-bidder/ (This link will expire 15minutes before the auction)  Auction Room:  https://meet.google.com/vny-dadz-jqa Welcome to this charming residence, offering a perfect blend of modern style and comfort in a prime location. The sleek kitchen is a standout, featuring crisp white cabinetry, ample overhead storage, and a modern brick-feature wall that adds character and warmth. Equipped with a gas cooktop and dishwasher, this kitchen is both stylish and functional. The carpeted living and dining area exudes comfort, complete with an A/C unit to keep you cool during summer. This space seamlessly opens onto a sunny balcony, perfect for enjoying morning coffee or evening relaxation. Both bedrooms are carpeted and come with built-in robes, providing ample storage. The bathroom includes a bath with an overhead shower, and the property also features internal laundry facilities for added convenience. Your vehicle will be well-accommodated with a dedicated carport. The location is equally impressive, less than 1km from the vibrant Koornang Road, where you'll find an array of cafes, bars, local grocers, and restaurants. With easy access to public transport, including the nearby Carnegie train station, and just a short drive from Chadstone, Australia's largest shopping centre, this home offers the ultimate accessibility and convenience. Additionally, Packer Park and Koornang Park are close by, providing plenty of options for outdoor recreation.Show More","(-37.895924, 145.063869)"
1310000,Unit,,,2/21 Madden Avenue Carnegie VIC 3163,3,2,1,264,"Your light and bright modern classic home awaits!  Set back from the street for ultimate privacy, this three bedroom two bathroom freestanding town residence boasts an appealing layout featuring a central hallway with an archway leading to a light filled living area (with large bookshelf), perfect for relaxing or entertaining.  A substantial open dining area meets the family sized kitchen (deep pantry), looking out onto the sun dappled leafy rear garden, wonderfully private among the tall greenery and ideal for al fresco meals and BBQs.  The home has a spacious main bedroom suite with a walk in robe and dual vanity suite, along with two additional large bedrooms (one with built in robes) that share a classic bathroom.  The home also has a powder room, separate laundry, and detached garage with convenient access to the front entrance and wraparound courtyard.  Relax in comfort and safety with ducted heating, evaporative cooling, security doors and a lock up garage, the property is ideally positioned between the Glen Huntly Road tram and Lord Reserve playing fields with the highly anticipated memorial pool redevelopment around the corner, and an easy walk to cosmopolitan Koornang Road and up and coming Glen Huntly Village, fulfilling all your shopping, dining and transport needs.","(-37.892466, 145.050023)"
,Apartment,,,3/93 Truganini Road Carnegie VIC 3163,2,2,1,98,"A semi brand-new 2 bedrooms apartment with capacious back yard in the Spice Apartment located at center Carnegie, with the tram route 67 to Melbourne University just at doorstep, few minutes walk to Carnegie Shopping Centre and Carnegie Train Station, bus to Chadstone Shopping Centre, close to Carnegie Primary School, St Anthony's Primary School and Monash University Caulfield Campus. This specious apartment features two carpeted bedrooms both with BIRs, includes one master bedroom with ensuite. A modern main bathroom with bath tub. An open living area and kitchen with Miele appliances, capacious private back yard. With security intercom, undercover car space and separate storage cage.","(-37.892942, 145.054838)"
,Unit,,,3/17 Elizabeth Crescent Carnegie VIC 3163,3,1,1,,"Located at the rear of the block, discover the charm of this beautiful home, where modern living meets unparalleled convenience. As you enter, you'll be welcomed by a spacious and open living and dining area, ideal for both relaxation and entertaining guests.  The contemporary kitchen is a culinary dream, featuring ample storage with overhead cupboards, a walk-in pantry, a gas cooktop, and a gorgeous tile splashback. Plush carpeted bedrooms provide a cosy retreat, with two of the three bedrooms featuring built-in robes for added storage. The sleek and modern bathroom offers a shower and a standalone bath, ensuring flexibility and comfort for your daily routines. A full size internal laundry enhances everyday living with added convenience. Start your day with a relaxing morning coffee or unwind on the expansive private deck in the evening. Featuring ducted heating and refrigerated cooling throughout with the option of a split system. Enjoy the prime location of this exceptional property, situated near the tranquil Koornang Park and offering easy access to public transport. Just under 1km from Koornang Road, you'll be close to a vibrant array of cafes, restaurants, and bars.Show More","(-37.892656, 145.046504)"
,Unit,1970,74,7/4 Kokaribb Road Carnegie VIC 3163,2,1,,,"Nestled in a secure boutique block, this whisper quiet first floor apartment is the total package, its peaceful yet set in the beating heart of all that's Carnegie. With a well-maintained contemporary exterior, the interior is beautifully presented to today's stylish standards meeting everyday needs. A dedicated entrance with an en vogue colour palette sets the tone for the spaces within & continue into a substantial open plan living & dining room large enough entertaining, complete with a balcony. An easeful flow into the chic kitchen featuring stone-look benchtops, white soft close cabinetry & a suite of Euro stainless steel appliances, lots of storage & concludes with a neat meals era. The choice of two bedrooms, one double sized are completed by generous wardrobes & enhanced by a large crisp white bathroom with a shower over bath & handy laundry facilities. With intercom, a split system, separate storeroom, secure entrance & a car space, this undoubtedly easy lifestyle is in a locale of endless appeal on the doorstep of Koornang Road's cosmopolitan shopping strip & restaurants, Carnegie train station, buses, parks & every lifestyle amenities possible.","(-37.886621, 145.056062)"
,Unit,2018,,5/14 Elliott Avenue Carnegie VIC 3163,3,2,2,,"Showcasing high-end interiors complemented by a private alfresco area, this luxurious ground floor apartment enjoys a privileged position just moments from Carnegies vibrant heart. Offering both accessibility and sought-after low maintenance, its spacious floorplan will appeal to both lifestyle buyers and savvy investors.  Introduced by an impressive hallway, the apartment opens to the northern sun, unveiling a spacious entertaining zone where two sets of sliding doors seamlessly connect the living and dining spaces to the vast wraparound deck. The kitchen boasts a crisp white aesthetic with sleek stone benchtops and premium Ilve appliances, while the breakfast bar provides another space to relax with a morning coffee.  This exceptional property includes three highly desired bedrooms, each featuring mirrored built-in wardrobes. The main bedroom offers the luxury of a private ensuite, complete with a lavish frameless rain shower and a stunning tiled feature wall. The second bathroom is an additional allure that mirrors this style. Experience year-round comfort with reverse cycle heating and cooling, while practicality meets elegance in the Euro laundry. Added peace of mind comes from video intercom security, complimented by two secure underground parking spaces, and a storage cage. Experience a lifestyle of unparalleled comfort and convenience with this impressive property, only a short stroll from Carnegie station, restaurants, and shopping centre.    We donate a portion of our fee from every property transaction to the Woodards Foundation to support people experiencing homelessness, family violence and social isolation.Show More","(-37.889052, 145.060399)"
,House,1920,151,23 Buckley Street Carnegie VIC 3163,4,2,,366,"A picturesque heritage streetscape is the idyllic setting for this utterly captivating c1915 period residence. Brilliantly renovated and extended to maximise the wonderful northern aspect, the blend of period elegance and inspired designer style throughout is uniquely matched to meet the needs of a modern family lifestyle. Peacefully set well back from the street, the wide central hall featuring timber fretwork, high ceilings and Baltic pine floors introduces the main bedroom with walk in robe and designer en suite, two additional double bedrooms and a stylish bathroom with spa-bath. Timber floors continue through the versatile sitting/media room/possible 4th bedroom, superb gourmet kitchen appointed with stone benches, Miele/Ilve appliances and study nook, and the expansive living and dining room where 3m ceilings and full height glass accentuates the sense of space and light. The living area extends out to a glorious north-facing low maintenance garden fully screened by Ficus hedges and offering secure off-street parking via the rear ROW. In a sought-after precinct close to Koornang Rd shops and cafes, Carnegie station, trams, a range of schools and Monash University's Caulfield campus, it includes an alarm, ducted heating and cooling, RC/air-conditioner, laundry, garden shed and storage.","(-37.886414, 145.052224)"
